student_id,course_id,enrollment_date,cohort,completion_pct,status,total_duration,session_count,avg_quiz_score,quiz_attempts
S0037,C004,2024-01-07,C,77.52,in_progress,64,1,82.68333333333334,3
S0037,C003,2024-01-26,A,24.53,dropped,209,3,28.506666666666664,3
S0038,C002,2024-01-18,C,67.3,in_progress,68,1,66.26,1
S0038,C004,2024-01-13,C,83.39,in_progress,188,4,100.0,1
S0038,C003,2024-01-07,C,64.47,in_progress,354,4,69.72333333333334,3
S0039,C004,2024-01-07,C,57.63,in_progress,118,3,64.75333333333333,3
S0040,C003,2024-01-20,B,83.7,in_progress,121,2,85.79,1
S0040,C002,2024-01-17,B,74.41,in_progress,64,2,75.345,2
S0040,C005,2024-01-09,A,38.58,in_progress,79,1,40.82,1
S0041,C003,2024-01-18,C,57.74,in_progress,86,2,57.42666666666667,3
S0041,C005,2024-01-13,A,56.93,in_progress,73,2,52.129999999999995,2
S0042,C001,2024-01-19,C,84.53,in_progress,267,3,82.8,3
S0042,C002,2024-01-18,B,84.4,in_progress,159,2,87.67,2
S0043,C004,2024-01-22,B,38.63,in_progress,125,2,42.93,1
S0043,C001,2024-01-26,C,86.05,completed,258,3,92.10666666666667,3
S0043,C002,2024-01-13,C,70.37,in_progress,303,4,71.91,2
S0044,C005,2024-01-27,C,96.82,completed,234,4,96.97,1
S0044,C004,2024-01-06,B,77.59,in_progress,75,2,78.96333333333332,3
S0044,C001,2024-01-14,A,62.17,in_progress,308,3,55.295,2
S0045,C002,2024-01-28,B,59.9,in_progress,247,3,52.230000000000004,2
S0045,C004,2024-01-26,A,84.02,in_progress,95,1,93.7,1
S0046,C005,2024-01-20,A,91.7,completed,232,4,95.27,3
S0046,C004,2024-01-23,C,76.97,in_progress,286,4,70.32333333333334,3
S0047,C004,2024-01-04,B,86.41,completed,320,4,90.24666666666667,3
S0047,C005,2024-01-25,A,91.18,completed,102,1,96.41,2
S0048,C004,2024-01-07,A,60.01,in_progress,188,2,63.09,2
S0048,C001,2024-01-05,A,50.56,in_progress,178,3,53.76,1
S0048,C003,2024-01-13,C,71.04,in_progress,287,4,65.54,1
S0049,C001,2024-01-28,A,89.86,completed,96,1,94.17,1
S0049,C004,2024-01-19,C,56.5,in_progress,212,3,51.875,2
S0049,C005,2024-01-09,C,84.59,in_progress,87,1,94.47999999999999,2
S0050,C004,2024-01-30,A,88.53,completed,37,1,82.525,2
S0050,C002,2024-01-29,B,76.81,in_progress,107,2,85.88,2
S0050,C005,2024-01-08,A,84.74,in_progress,186,2,67.0,1
S0051,C004,2024-01-21,A,62.78,in_progress,213,3,66.41,1
S0051,C001,2024-01-22,A,90.49,completed,195,2,99.65,2
S0051,C002,2024-01-22,C,56.21,in_progress,166,4,50.95666666666667,3
S0052,C004,2024-01-28,A,76.82,in_progress,243,4,71.12,3
S0053,C004,2024-01-14,A,94.44,completed,431,4,93.495,2
S0053,C005,2024-01-12,B,98.9,completed,117,1,91.025,2
S0054,C002,2024-01-05,C,74.06,in_progress,167,2,70.715,2
S0054,C001,2024-01-22,B,66.42,in_progress,268,3,47.22,1
S0055,C005,2024-01-21,C,81.48,in_progress,37,1,76.83,2
S0055,C003,2024-01-05,C,39.83,in_progress,213,3,49.93333333333334,3
S0056,C004,2024-01-28,C,39.51,in_progress,185,2,48.01666666666667,3
S0057,C004,2024-01-13,C,45.87,in_progress,193,3,38.135000000000005,2
S0058,C003,2024-01-04,C,97.3,completed,305,3,97.53666666666668,3
S0058,C004,2024-01-09,B,63.83,in_progress,293,4,74.61500000000001,2
S0058,C002,2024-01-09,B,80.65,in_progress,87,1,80.71333333333332,3
S0059,C003,2024-01-12,A,80.27,in_progress,410,4,80.925,2
S0060,C003,2024-01-12,C,76.33,in_progress,185,4,78.78666666666668,3
S0061,C005,2024-01-09,C,84.13,in_progress,258,4,77.425,2
S0061,C004,2024-01-24,A,54.81,in_progress,342,4,59.43,3
S0061,C003,2024-01-24,A,61.21,in_progress,82,1,64.41333333333334,3
S0062,C001,2024-01-16,B,96.97,completed,50,2,98.67333333333333,3
S0062,C002,2024-01-17,C,81.03,in_progress,107,2,73.51333333333334,3
S0062,C003,2024-01-19,C,85.92,completed,93,2,82.21000000000001,2
S0063,C005,2024-01-24,A,94.04,completed,123,3,92.97666666666667,3
S0063,C002,2024-01-03,A,50.63,in_progress,396,4,60.4,3
S0063,C001,2024-01-12,C,80.75,in_progress,232,4,82.25,2
S0064,C005,2024-01-03,C,79.23,in_progress,272,4,75.13,1
S0064,C001,2024-01-10,A,85.25,completed,127,2,92.3,1
S0065,C003,2024-01-20,C,84.6,in_progress,244,3,87.12,3
S0066,C004,2024-01-10,A,79.65,in_progress,115,2,85.31,2
S0067,C001,2024-01-19,C,46.05,in_progress,58,1,32.63333333333333,3
S0068,C001,2024-01-08,C,78.35,in_progress,264,4,75.97,2
S0068,C002,2024-01-04,B,84.41,in_progress,202,3,79.85,2
S0068,C005,2024-01-22,A,78.34,in_progress,233,2,82.54666666666667,3
S0069,C002,2024-01-29,B,68.41,in_progress,92,1,62.07,1
S0069,C004,2024-01-27,C,59.97,in_progress,322,4,68.32,3
S0069,C003,2024-01-01,C,89.94,completed,271,4,86.675,2
S0070,C005,2024-01-06,A,73.54,in_progress,253,4,77.41999999999999,2
S0070,C004,2024-01-18,C,84.7,in_progress,38,1,81.18,1
S0070,C001,2024-01-02,C,93.53,completed,63,1,82.13333333333334,3
S0071,C001,2024-01-16,B,65.72,in_progress,218,4,63.050000000000004,3
S0072,C005,2024-01-02,C,52.95,in_progress,339,4,51.525,2
S0072,C001,2024-01-27,C,98.43,completed,331,4,86.81,2
S0072,C004,2024-01-02,B,67.68,in_progress,292,4,72.565,2
S0073,C003,2024-01-21,C,82.5,in_progress,131,2,74.62,1
S0073,C005,2024-01-15,C,85.09,completed,50,1,86.16,1
S0074,C003,2024-01-17,A,79.92,in_progress,105,2,79.925,2
S0074,C004,2024-01-24,C,73.15,in_progress,149,3,63.59,2
S0074,C005,2024-01-14,B,73.42,in_progress,82,1,76.095,2
S0075,C004,2024-01-11,C,82.23,in_progress,105,2,80.39,3
S0075,C001,2024-01-11,C,87.01,completed,58,1,87.65,1
S0076,C002,2024-01-13,A,75.55,in_progress,161,3,71.85499999999999,2
S0077,C004,2024-01-09,C,81.32,in_progress,212,3,73.05,1
S0077,C001,2024-01-27,A,38.31,in_progress,198,3,32.51,2
S0077,C005,2024-01-21,A,90.38,completed,283,4,79.38666666666667,3
S0078,C005,2024-01-28,B,85.53,completed,208,2,76.25,1
S0079,C004,2024-01-07,B,49.12,in_progress,198,3,45.06333333333333,3
S0079,C005,2024-01-03,C,80.63,in_progress,111,1,92.10499999999999,2
S0079,C001,2024-01-30,C,72.35,in_progress,361,4,75.53,1
S0080,C002,2024-01-08,B,58.51,in_progress,348,4,52.15,2
S0080,C001,2024-01-14,B,56.94,in_progress,51,1,52.36666666666667,3
S0080,C005,2024-01-30,B,76.88,in_progress,178,4,72.52666666666666,3
S0081,C002,2024-01-24,A,83.04,in_progress,235,4,81.30666666666667,3
S0082,C001,2024-01-24,B,82.07,in_progress,424,4,72.57,1
S0083,C002,2024-01-20,A,48.07,in_progress,175,3,40.51,1
S0084,C001,2024-01-28,B,47.32,in_progress,261,4,45.58,2
S0084,C005,2024-01-07,C,78.35,in_progress,273,3,79.58999999999999,3
S0085,C001,2024-01-25,C,87.62,completed,63,2,83.15,1
S0085,C004,2024-01-19,A,83.04,in_progress,64,1,82.87666666666667,3
S0085,C003,2024-01-13,C,80.03,in_progress,298,4,89.88,2
S0086,C005,2024-01-06,A,68.52,in_progress,90,1,54.44,1
S0086,C003,2024-01-16,A,91.1,completed,207,3,92.8,3
S0086,C004,2024-01-04,C,75.42,in_progress,182,2,76.39,2
S0087,C005,2024-01-22,B,49.02,in_progress,187,3,52.55,2
S0087,C002,2024-01-21,A,90.76,completed,286,4,100.0,1
S0088,C001,2024-01-22,A,68.8,in_progress,397,4,65.485,2
S0089,C003,2024-01-01,A,84.91,in_progress,157,3,89.56,1
S0089,C001,2024-01-17,B,57.7,in_progress,72,1,53.82,3
S0090,C002,2024-01-28,C,77.85,in_progress,343,4,72.47333333333333,3
S0090,C005,2024-01-01,A,73.88,in_progress,62,2,82.03333333333333,3
S0091,C004,2024-01-26,C,75.51,in_progress,310,4,85.925,2
S0091,C002,2024-01-30,A,83.52,in_progress,43,1,82.78,2
S0092,C005,2024-01-11,C,86.38,completed,83,1,80.78333333333335,3
S0092,C004,2024-01-11,C,72.91,in_progress,129,2,66.835,2
S0092,C003,2024-01-30,B,70.0,in_progress,222,4,82.20333333333333,3
S0093,C001,2024-01-02,A,93.52,completed,148,4,99.38,2
S0093,C003,2024-01-21,C,61.99,in_progress,106,1,60.58,2
S0093,C005,2024-01-20,A,73.11,in_progress,196,2,67.14,2
S0094,C002,2024-01-24,A,93.66,completed,173,3,98.06,2
S0094,C004,2024-01-17,B,74.97,in_progress,292,4,61.769999999999996,2
S0094,C003,2024-01-08,C,58.4,in_progress,151,3,63.7,1
S0095,C001,2024-01-19,B,63.9,in_progress,224,3,55.489999999999995,2
S0096,C004,2024-01-18,B,50.6,in_progress,96,2,52.81333333333333,3
S0096,C002,2024-01-24,A,71.73,in_progress,250,3,75.17,2
S0096,C003,2024-01-05,C,36.18,in_progress,64,1,41.18333333333333,3
S0097,C003,2024-01-04,A,68.03,in_progress,94,2,66.79666666666667,3
S0097,C004,2024-01-05,C,60.32,in_progress,198,3,59.09,1
S0098,C001,2024-01-28,A,64.79,in_progress,118,2,69.13,2
S0098,C003,2024-01-26,A,73.72,in_progress,279,3,83.01,1
S0098,C002,2024-01-23,C,69.76,in_progress,148,2,78.26666666666667,3
S0099,C004,2024-01-05,C,70.65,in_progress,99,2,71.17500000000001,2
S0100,C002,2024-01-08,B,22.51,dropped,17,1,23.78,3
S0100,C005,2024-01-05,B,51.12,in_progress,38,1,42.3,2
S0100,C003,2024-01-18,B,83.66,in_progress,231,4,78.71333333333332,3
